OFFENCE_CODE,OFFENCE_DESCRIPTION,anzsoc,anzsoc_group_code_name,IS_DRIVING_UNDER_INFLUENCE_FLG,violent,alcohol,drug
6877,Sell firearm/ammunition by mail order not pursuant to written order,1123,1123: Deal or traffic regulated weapons/explosives offences,N,,,
6878,Sell ammunition to unlicensed person/not a dealer,1123,1123: Deal or traffic regulated weapons/explosives offences,N,,,
T705,Cab Authority Not Displayed,1624,1624: Transport regulation offences,N,,,
U203,Producing False Waybill (Driver),1624,1624: Transport regulation offences,N,,,
6363,Breach Agricultural Workers Act,1623,1623: Occupational health and safety offences,N,,,
K114,Taxi Organisation Failed To Maintain Complaints Register,1624,1624: Transport regulation offences,N,,,
9821,Breach Auckland&Kermadec Areas Fish Regs,1691,1691: Environmental regulation offences,N,,,
E974,Exceeded 40 Km/H Posted Speed Limit,1432,1432: Exceed the legal speed limit,N,,,
R520,Wilfully Breaks Glass Or Bottle In A Public Place,1691,1691: Environmental regulation offences,N,,,
E812,Exceeded 80 Km/H Waikareao Expressway,1432,1432: Exceed the legal speed limit,N,,,
3399,Other Liquor Offences,1322,1322: Liquor and tobacco offences,N,,,
S804,Motor Cycle Or Power Cycle Exceeded 40 Km/H While Towing,1432,1432: Exceed the legal speed limit,N,,,
9713,Making An Erroneous Return -Sales Tax,922,0922: Forgery of documents,N,,,
S402,Exceeded 70 Km/H In School Bus,1432,1432: Exceed the legal speed limit,N,,,
S805,Towing Disabled Motor Cycle In Excess Of 30 Km/H,1432,1432: Exceed the legal speed limit,N,,,
E887,Exceeded 80 Km/H On A Designsted Section Of Sh16,1432,1432: Exceed the legal speed limit,N,,,
E604,Exceeded 20Kmh Temp Speed Limit Past Accident Sign,1432,1432: Exceed the legal speed limit,N,,,
2229,Other Obscene Exposure,1325,1325: Offences against public order sexual standards,N,,,
7985,Breach Of Customs And Excise Act,1694,1694: Import/export regulations,N,,,
3910,Closure Of Licensed Premises Riot/Fighting,1322,1322: Liquor and tobacco offences,N,,,
3261,Consume/Smoke/Use Cannabis Seed,1042,1042: Use illicit drugs,N,,,1
9712,Defrauding Sales Tax Revenue,1549,"1549: Offences against government operations, nec",N,,,
E979,Exceeded 100 Km/H Posted Speed Limit,1432,1432: Exceed the legal speed limit,N,,,
E936,Exceeded Speed Limit On Sh 1 At Ngauranga Gorge,1432,1432: Exceed the legal speed limit,N,,,
E961,Exceeded 80 Km/H On Designated Road In Auckland City,1432,1432: Exceed the legal speed limit,N,,,
9515,Fail Comply Requisition Factory Insp,1623,1623: Occupational health and safety offences,N,,,
A522,Aided Person Under 20 To Drive - Breath Contained Alcohol - Over 150 mcg,1431,1431: Exceed the prescribed content of alcohol or other substance limit,Y,,1,
6845,Supply False Details For Licence Application,1129,"1129: Regulated weapons/explosives offences, nec",N,,,
3413,Bookmaking (First Offence),1321,1321: Betting and gambling offences,N,,,
9511,Breach Of Working Hours Restrictions,1623,1623: Occupational health and safety offences,N,,,
3920,Licee/Mngr Liqr Offn-Sale Of Liqr Act 89,1322,1322: Liquor and tobacco offences,N,,,
9431,Breach Pork Industry Act,1621,1621: Sanitation offences,N,,,
9481,Breach of Water Services Act 2021 (Non-Imprisonable),1621,1621: Sanitation offences,N,,,
T403,Unlicensed Passenger Service,1624,1624: Transport regulation offences,N,,,
9323,Breach Of Community Work,1521,1521: Breach of community service order,N,,,
E886,Exceeded 60 Km/H On A Designsted Section Of Sh16,1432,1432: Exceed the legal speed limit,N,,,
T208,Breach Of Temporary Goods Service Licence,1624,1624: Transport regulation offences,N,,,
E977,Exceeded 70 Km/H Posted Speed Limit,1432,1432: Exceed the legal speed limit,N,,,
A625,Aid/Permit Person To Drive In Transport Service With Excess Blood Alcohol,1431,1431: Exceed the prescribed content of alcohol or other substance limit,Y,,1,
