dim2_type,dim2_code,dimension2_type,dimension2_code
sa2,144600,SA2,144600
sa2,144700,SA2,144700
sa2,144800,SA2,144800
sa2,144900,SA2,144900
sa2,145000,SA2,145000
sa2,145101,SA2,145101
sa2,145200,SA2,145200
sa2,145300,SA2,145300
sa2,145400,SA2,145400
sa2,145500,SA2,145500
sa2,145600,SA2,145600
sa2,145700,SA2,145700
sa2,145800,SA2,145800
sa2,145900,SA2,145900
sa2,146201,SA2,146201
sa2,146301,SA2,146301
sa2,146302,SA2,146302
sa2,147500,SA2,147500
sa2,147600,SA2,147600
sa2,147700,SA2,147700
sa2,147800,SA2,147800
sa2,147900,SA2,147900
sa2,148000,SA2,148000
sa2,148101,SA2,148101
sa2,148200,SA2,148200
sa2,148300,SA2,148300
sa2,148401,SA2,148401
sa2,148501,SA2,148501
sa2,148600,SA2,148600
sa2,148700,SA2,148700
sa2,148800,SA2,148800
sa2,148901,SA2,148901
sa2,149001,SA2,149001
sa2,149702,SA2,149702
sa2,150600,SA2,150600
sa2,150700,SA2,150700
sa2,150800,SA2,150800
sa2,150900,SA2,150900
sa2,151000,SA2,151000
sa2,151100,SA2,151100
sa2,151200,SA2,151200
sa2,151301,SA2,151301
sa2,151400,SA2,151400
sa2,151500,SA2,151500
sa2,151600,SA2,151600
sa2,151700,SA2,151700
sa2,151800,SA2,151800
sa2,151900,SA2,151900
sa2,152000,SA2,152000
sa2,152101,SA2,152101
sa2,152201,SA2,152201
sa2,153600,SA2,153600
sa2,153700,SA2,153700
sa2,153800,SA2,153800
sa2,153900,SA2,153900
sa2,154001,SA2,154001
sa2,154101,SA2,154101
sa2,154201,SA2,154201
sa2,154300,SA2,154300
sa2,154400,SA2,154400
sa2,154500,SA2,154500
sa2,154600,SA2,154600
sa2,154701,SA2,154701
sa2,154801,SA2,154801
sa2,154802,SA2,154802
sa2,154901,SA2,154901
sa2,154902,SA2,154902
sa2,155000,SA2,155000
sa2,155301,SA2,155301
sa2,155401,SA2,155401
sa2,155602,SA2,155602
sa2,155702,SA2,155702
sa2,156700,SA2,156700
sa2,156800,SA2,156800
sa2,157000,SA2,157000
sa2,157101,SA2,157101
sa2,157200,SA2,157200
sa2,157301,SA2,157301
sa2,157400,SA2,157400
sa2,157500,SA2,157500
sa2,157600,SA2,157600
sa2,157701,SA2,157701
sa2,157702,SA2,157702
sa2,157800,SA2,157800
sa2,157901,SA2,157901
sa2,158001,SA2,158001
sa2,158002,SA2,158002
sa2,158101,SA2,158101
sa2,158102,SA2,158102
sa2,158401,SA2,158401
sa2,158402,SA2,158402
sa2,158502,SA2,158502
sa2,158602,SA2,158602
sa2,158603,SA2,158603
sa2,159700,SA2,159700
sa2,159900,SA2,159900
sa2,160000,SA2,160000
sa2,160100,SA2,160100
sa2,160201,SA2,160201
sa2,160300,SA2,160300
sa2,160401,SA2,160401
sa2,160501,SA2,160501
sa2,160601,SA2,160601
sa2,160700,SA2,160700
sa2,160800,SA2,160800
sa2,160901,SA2,160901
sa2,160902,SA2,160902
sa2,161000,SA2,161000
sa2,161100,SA2,161100
sa2,161201,SA2,161201
sa2,162800,SA2,162800
sa2,163100,SA2,163100
sa2,163200,SA2,163200
sa2,163301,SA2,163301
sa2,163400,SA2,163400
sa2,163501,SA2,163501
sa2,163502,SA2,163502
sa2,163600,SA2,163600
sa2,163700,SA2,163700
sa2,163801,SA2,163801
sa2,163803,SA2,163803
sa2,163901,SA2,163901
sa2,163902,SA2,163902
sa2,164001,SA2,164001
sa2,164100,SA2,164100
sa2,164201,SA2,164201
sa2,164301,SA2,164301
sa2,164302,SA2,164302
sa2,164401,SA2,164401
sa2,164602,SA2,164602
sa2,164603,SA2,164603
sa2,165800,SA2,165800
sa2,166000,SA2,166000
sa2,166100,SA2,166100
sa2,166200,SA2,166200
sa2,166301,SA2,166301
sa2,166400,SA2,166400
sa2,166500,SA2,166500
sa2,166600,SA2,166600
sa2,166700,SA2,166700
sa2,166801,SA2,166801
sa2,166900,SA2,166900
sa2,167000,SA2,167000
sa2,167101,SA2,167101
sa2,167102,SA2,167102
sa2,167200,SA2,167200
sa2,167501,SA2,167501
sa2,168800,SA2,168800
sa2,169000,SA2,169000
sa2,169100,SA2,169100
sa2,169200,SA2,169200
sa2,169301,SA2,169301
sa2,169401,SA2,169401
sa2,169500,SA2,169500
sa2,169600,SA2,169600
sa2,169700,SA2,169700
sa2,169800,SA2,169800
sa2,169901,SA2,169901
sa2,170001,SA2,170001
sa2,170101,SA2,170101
sa2,170201,SA2,170201
sa2,170501,SA2,170501
sa2,170502,SA2,170502
sa2,170802,SA2,170802
sa2,170803,SA2,170803
sa2,172100,SA2,172100
sa2,172201,SA2,172201
sa2,172300,SA2,172300
sa2,172401,SA2,172401
sa2,172500,SA2,172500
sa2,172601,SA2,172601
sa2,172700,SA2,172700
sa2,172800,SA2,172800
sa2,172900,SA2,172900
sa2,173000,SA2,173000
sa2,173100,SA2,173100
sa2,173201,SA2,173201
sa2,173202,SA2,173202
sa2,174300,SA2,174300
sa2,174400,SA2,174400
sa2,174500,SA2,174500
sa2,174601,SA2,174601
sa2,174701,SA2,174701
sa2,174801,SA2,174801
sa2,174901,SA2,174901
sa2,175001,SA2,175001
sa2,175002,SA2,175002
sa2,175201,SA2,175201
sa2,175302,SA2,175302
sa2,176400,SA2,176400
sa2,176500,SA2,176500
sa2,176600,SA2,176600
sa2,176700,SA2,176700
sa2,176800,SA2,176800
sa2,176900,SA2,176900
sa2,177000,SA2,177000
sa2,177100,SA2,177100
sa2,177200,SA2,177200
sa2,177300,SA2,177300
sa2,177400,SA2,177400
sa2,177500,SA2,177500
sa2,177600,SA2,177600
sa2,177700,SA2,177700
sa2,177800,SA2,177800
sa2,177901,SA2,177901
sa2,178201,SA2,178201
sa2,178202,SA2,178202
sa2,179600,SA2,179600
sa2,179700,SA2,179700
sa2,179801,SA2,179801
sa2,179901,SA2,179901
sa2,180000,SA2,180000
sa2,180100,SA2,180100
sa2,180200,SA2,180200
sa2,180300,SA2,180300
sa2,180400,SA2,180400
sa2,180500,SA2,180500
sa2,180601,SA2,180601
sa2,180700,SA2,180700
sa2,180800,SA2,180800
sa2,180900,SA2,180900
sa2,181101,SA2,181101
sa2,182500,SA2,182500
sa2,182600,SA2,182600
sa2,182700,SA2,182700
sa2,182800,SA2,182800
sa2,182900,SA2,182900
sa2,183000,SA2,183000
sa2,183101,SA2,183101
sa2,183200,SA2,183200
sa2,183300,SA2,183300
sa2,183401,SA2,183401
sa2,183500,SA2,183500
sa2,183600,SA2,183600
sa2,183701,SA2,183701
sa2,183800,SA2,183800
sa2,183900,SA2,183900
sa2,184201,SA2,184201
sa2,185500,SA2,185500
sa2,185600,SA2,185600
sa2,185700,SA2,185700
sa2,185800,SA2,185800
sa2,185900,SA2,185900
sa2,186000,SA2,186000
sa2,186100,SA2,186100
sa2,186200,SA2,186200
sa2,186300,SA2,186300
sa2,186400,SA2,186400
sa2,186500,SA2,186500
sa2,186600,SA2,186600
sa2,186700,SA2,186700
sa2,186800,SA2,186800
sa2,186900,SA2,186900
sa2,187000,SA2,187000
sa2,187702,SA2,187702
sa2,188600,SA2,188600
sa2,188800,SA2,188800
sa2,188900,SA2,188900
sa2,189000,SA2,189000
sa2,189101,SA2,189101
sa2,189200,SA2,189200
sa2,189300,SA2,189300
sa2,189400,SA2,189400
sa2,189500,SA2,189500
sa2,189600,SA2,189600
sa2,189700,SA2,189700
sa2,189800,SA2,189800
sa2,189900,SA2,189900
sa2,190602,SA2,190602
sa2,191700,SA2,191700
sa2,192000,SA2,192000
sa2,192101,SA2,192101
sa2,192300,SA2,192300
sa2,192400,SA2,192400
sa2,192500,SA2,192500
sa2,192600,SA2,192600
sa2,192700,SA2,192700
sa2,192800,SA2,192800
sa2,192900,SA2,192900
sa2,193000,SA2,193000
sa2,193201,SA2,193201
sa2,193202,SA2,193202
sa2,193301,SA2,193301
sa2,194700,SA2,194700
sa2,194900,SA2,194900
sa2,195000,SA2,195000
sa2,195101,SA2,195101
sa2,195200,SA2,195200
sa2,195300,SA2,195300
sa2,195401,SA2,195401
sa2,195500,SA2,195500
sa2,195601,SA2,195601
sa2,195700,SA2,195700
sa2,195800,SA2,195800
sa2,195900,SA2,195900
sa2,196000,SA2,196000
sa2,196100,SA2,196100
sa2,196201,SA2,196201
sa2,196202,SA2,196202
sa2,196301,SA2,196301
sa2,197700,SA2,197700
sa2,197800,SA2,197800
sa2,197900,SA2,197900
sa2,198000,SA2,198000
sa2,198100,SA2,198100
sa2,198200,SA2,198200
sa2,198400,SA2,198400
sa2,198500,SA2,198500
sa2,198600,SA2,198600
sa2,198700,SA2,198700
sa2,198800,SA2,198800
sa2,198900,SA2,198900
sa2,199000,SA2,199000
sa2,199100,SA2,199100
sa2,200700,SA2,200700
sa2,200800,SA2,200800
sa2,200900,SA2,200900
sa2,201100,SA2,201100
sa2,201200,SA2,201200
sa2,201300,SA2,201300
sa2,201401,SA2,201401
sa2,201501,SA2,201501
sa2,201600,SA2,201600
sa2,201700,SA2,201700
sa2,201800,SA2,201800
sa2,201900,SA2,201900
sa2,202000,SA2,202000
sa2,202100,SA2,202100
sa2,202200,SA2,202200
sa2,203800,SA2,203800
sa2,204101,SA2,204101
sa2,204200,SA2,204200
sa2,204301,SA2,204301
sa2,204400,SA2,204400
sa2,204500,SA2,204500
sa2,204600,SA2,204600
sa2,204700,SA2,204700
sa2,204800,SA2,204800
sa2,204900,SA2,204900
sa2,205000,SA2,205000
sa2,205100,SA2,205100
sa2,205201,SA2,205201
sa2,205401,SA2,205401
sa2,205601,SA2,205601
sa2,206900,SA2,206900
sa2,207000,SA2,207000
sa2,207100,SA2,207100
sa2,207200,SA2,207200
sa2,207301,SA2,207301
sa2,207400,SA2,207400
sa2,207600,SA2,207600
sa2,207700,SA2,207700
sa2,207800,SA2,207800
sa2,207900,SA2,207900
sa2,208001,SA2,208001
sa2,208100,SA2,208100
sa2,208200,SA2,208200
sa2,208301,SA2,208301
sa2,208401,SA2,208401
sa2,208601,SA2,208601
sa2,210000,SA2,210000
sa2,210100,SA2,210100
sa2,210201,SA2,210201
sa2,210300,SA2,210300
sa2,210400,SA2,210400
sa2,210500,SA2,210500
sa2,210600,SA2,210600
sa2,210700,SA2,210700
sa2,210800,SA2,210800
sa2,210900,SA2,210900
sa2,211000,SA2,211000
sa2,211100,SA2,211100
sa2,211201,SA2,211201
sa2,211301,SA2,211301
sa2,211302,SA2,211302
sa2,211401,SA2,211401
sa2,211701,SA2,211701
sa2,212900,SA2,212900
sa2,213000,SA2,213000
sa2,213100,SA2,213100
sa2,213200,SA2,213200
sa2,213300,SA2,213300
sa2,173300,SA2,173300
sa2,173902,SA2,173902
sa2,175100,SA2,175100
sa2,175301,SA2,175301
sa2,175401,SA2,175401
sa2,175501,SA2,175501
sa2,175601,SA2,175601
sa2,175700,SA2,175700
sa2,175801,SA2,175801
sa2,175901,SA2,175901
sa2,175902,SA2,175902
sa2,176000,SA2,176000
sa2,176101,SA2,176101
sa2,176201,SA2,176201
sa2,176202,SA2,176202
sa2,176301,SA2,176301
sa2,178000,SA2,178000
sa2,178100,SA2,178100
sa2,178301,SA2,178301
sa2,178400,SA2,178400
sa2,178500,SA2,178500
sa2,178600,SA2,178600
sa2,178701,SA2,178701
sa2,178800,SA2,178800
sa2,178901,SA2,178901
sa2,179001,SA2,179001
sa2,179100,SA2,179100
sa2,179201,SA2,179201
sa2,179202,SA2,179202
sa2,179300,SA2,179300
sa2,179401,SA2,179401
sa2,179501,SA2,179501
sa2,179502,SA2,179502
sa2,181000,SA2,181000
sa2,181200,SA2,181200
sa2,181301,SA2,181301
sa2,181400,SA2,181400
sa2,181500,SA2,181500
sa2,181600,SA2,181600
sa2,181700,SA2,181700
sa2,181800,SA2,181800
sa2,181900,SA2,181900
sa2,182000,SA2,182000
sa2,182101,SA2,182101
sa2,182201,SA2,182201
sa2,182300,SA2,182300
sa2,182400,SA2,182400
sa2,184000,SA2,184000
sa2,184100,SA2,184100
sa2,184300,SA2,184300
sa2,184400,SA2,184400
sa2,184501,SA2,184501
sa2,184601,SA2,184601
sa2,184700,SA2,184700
sa2,184800,SA2,184800
sa2,184900,SA2,184900
sa2,185000,SA2,185000
sa2,185100,SA2,185100
sa2,185200,SA2,185200
sa2,185300,SA2,185300
sa2,185400,SA2,185400
sa2,187100,SA2,187100
sa2,187200,SA2,187200
sa2,187300,SA2,187300
sa2,187400,SA2,187400
sa2,187500,SA2,187500
sa2,187600,SA2,187600
sa2,187701,SA2,187701
sa2,187800,SA2,187800
sa2,187900,SA2,187900
sa2,188001,SA2,188001
sa2,188002,SA2,188002
sa2,188100,SA2,188100
sa2,188200,SA2,188200
sa2,188300,SA2,188300
sa2,188400,SA2,188400
sa2,188501,SA2,188501
sa2,188502,SA2,188502
sa2,188701,SA2,188701
sa2,188702,SA2,188702
sa2,189102,SA2,189102
sa2,190100,SA2,190100
sa2,190200,SA2,190200
sa2,190300,SA2,190300
sa2,190400,SA2,190400
sa2,190501,SA2,190501
sa2,190601,SA2,190601
sa2,190700,SA2,190700
sa2,190800,SA2,190800
sa2,190901,SA2,190901
sa2,190902,SA2,190902
sa2,191001,SA2,191001
sa2,191101,SA2,191101
sa2,191201,SA2,191201
sa2,191300,SA2,191300
sa2,191400,SA2,191400
sa2,191501,SA2,191501
sa2,191502,SA2,191502
sa2,191601,SA2,191601
sa2,191801,SA2,191801
sa2,191901,SA2,191901
sa2,192102,SA2,192102
sa2,193100,SA2,193100
sa2,193400,SA2,193400
sa2,193500,SA2,193500
sa2,193600,SA2,193600
sa2,193700,SA2,193700
sa2,193800,SA2,193800
sa2,193900,SA2,193900
sa2,194000,SA2,194000
sa2,194100,SA2,194100
sa2,194200,SA2,194200
sa2,194300,SA2,194300
sa2,194400,SA2,194400
sa2,194500,SA2,194500
sa2,194601,SA2,194601
sa2,194801,SA2,194801
sa2,194802,SA2,194802
sa2,195102,SA2,195102
sa2,196400,SA2,196400
sa2,196500,SA2,196500
sa2,196600,SA2,196600
sa2,196700,SA2,196700
sa2,196800,SA2,196800
sa2,196900,SA2,196900
sa2,197000,SA2,197000
sa2,197100,SA2,197100
sa2,197200,SA2,197200
sa2,197300,SA2,197300
sa2,197400,SA2,197400
sa2,197500,SA2,197500
sa2,197601,SA2,197601
sa2,197602,SA2,197602
sa2,197603,SA2,197603
sa2,199200,SA2,199200
sa2,199300,SA2,199300
sa2,199400,SA2,199400
sa2,199500,SA2,199500
sa2,199600,SA2,199600
sa2,199700,SA2,199700
sa2,199800,SA2,199800
sa2,199900,SA2,199900
sa2,200000,SA2,200000
sa2,200100,SA2,200100
sa2,200200,SA2,200200
sa2,200300,SA2,200300
sa2,200401,SA2,200401
sa2,200500,SA2,200500
sa2,200600,SA2,200600
sa2,201001,SA2,201001
sa2,202300,SA2,202300
sa2,202400,SA2,202400
sa2,202500,SA2,202500
sa2,202600,SA2,202600
sa2,202700,SA2,202700
sa2,202800,SA2,202800
sa2,202900,SA2,202900
sa2,203000,SA2,203000
sa2,203100,SA2,203100
sa2,203200,SA2,203200
sa2,203300,SA2,203300
sa2,203400,SA2,203400
sa2,203500,SA2,203500
sa2,203600,SA2,203600
sa2,203700,SA2,203700
sa2,203901,SA2,203901
sa2,203902,SA2,203902
sa2,205300,SA2,205300
sa2,205500,SA2,205500
sa2,205700,SA2,205700
sa2,205800,SA2,205800
sa2,205900,SA2,205900
sa2,206000,SA2,206000
sa2,206100,SA2,206100
sa2,206200,SA2,206200
sa2,206300,SA2,206300
sa2,206400,SA2,206400
sa2,206500,SA2,206500
sa2,206601,SA2,206601
sa2,206700,SA2,206700
sa2,206801,SA2,206801
sa2,208500,SA2,208500
sa2,208700,SA2,208700
sa2,208800,SA2,208800
sa2,208901,SA2,208901
sa2,209000,SA2,209000
sa2,209100,SA2,209100
sa2,209201,SA2,209201
sa2,209301,SA2,209301
sa2,209401,SA2,209401
sa2,209500,SA2,209500
sa2,209601,SA2,209601
sa2,209700,SA2,209700
sa2,209800,SA2,209800
sa2,209901,SA2,209901
sa2,211500,SA2,211500
sa2,211600,SA2,211600
sa2,211800,SA2,211800
sa2,211900,SA2,211900
sa2,212000,SA2,212000
sa2,212100,SA2,212100
sa2,212201,SA2,212201
sa2,212301,SA2,212301
sa2,212400,SA2,212400
sa2,213400,SA2,213400
sa2,213500,SA2,213500
sa2,213600,SA2,213600
sa2,213700,SA2,213700
sa2,213800,SA2,213800
sa2,213900,SA2,213900
sa2,214000,SA2,214000
sa2,214100,SA2,214100
sa2,214200,SA2,214200
sa2,214300,SA2,214300
sa2,215900,SA2,215900
sa2,216000,SA2,216000
sa2,216200,SA2,216200
sa2,216300,SA2,216300
sa2,216401,SA2,216401
sa2,216500,SA2,216500
sa2,216600,SA2,216600
sa2,216700,SA2,216700
sa2,216800,SA2,216800
sa2,216900,SA2,216900
sa2,217000,SA2,217000
sa2,217100,SA2,217100
sa2,217201,SA2,217201
sa2,217300,SA2,217300
sa2,217400,SA2,217400
sa2,217501,SA2,217501
sa2,217502,SA2,217502
sa2,217601,SA2,217601
sa2,217701,SA2,217701
sa2,219000,SA2,219000
sa2,219100,SA2,219100
sa2,219200,SA2,219200
sa2,219401,SA2,219401
sa2,219501,SA2,219501
sa2,219601,SA2,219601
sa2,219700,SA2,219700
sa2,219800,SA2,219800
sa2,219900,SA2,219900
sa2,220001,SA2,220001
sa2,220101,SA2,220101
sa2,220200,SA2,220200
sa2,220301,SA2,220301
sa2,220400,SA2,220400
sa2,220501,SA2,220501
sa2,220902,SA2,220902
sa2,222000,SA2,222000
sa2,222300,SA2,222300
sa2,222400,SA2,222400
sa2,222500,SA2,222500
sa2,222600,SA2,222600
sa2,222700,SA2,222700
sa2,222800,SA2,222800
sa2,222900,SA2,222900
sa2,223000,SA2,223000
sa2,223100,SA2,223100
sa2,223200,SA2,223200
sa2,223300,SA2,223300
sa2,223400,SA2,223400
sa2,223501,SA2,223501
sa2,223701,SA2,223701
sa2,225100,SA2,225100
sa2,225200,SA2,225200
sa2,225300,SA2,225300
sa2,225400,SA2,225400
sa2,225500,SA2,225500
sa2,225600,SA2,225600
sa2,225700,SA2,225700
sa2,225800,SA2,225800
sa2,225900,SA2,225900
sa2,226000,SA2,226000
sa2,226100,SA2,226100
sa2,226200,SA2,226200
sa2,226300,SA2,226300
sa2,226400,SA2,226400
sa2,226500,SA2,226500
sa2,226601,SA2,226601
sa2,226701,SA2,226701
sa2,228100,SA2,228100
sa2,228200,SA2,228200
sa2,228300,SA2,228300
sa2,228400,SA2,228400
sa2,228500,SA2,228500
sa2,228600,SA2,228600
sa2,228700,SA2,228700
sa2,228800,SA2,228800
sa2,228901,SA2,228901
sa2,229001,SA2,229001
sa2,229100,SA2,229100
sa2,229201,SA2,229201
sa2,229300,SA2,229300
sa2,229400,SA2,229400
sa2,229500,SA2,229500
sa2,231200,SA2,231200
sa2,231300,SA2,231300
sa2,231400,SA2,231400
sa2,231500,SA2,231500
sa2,231600,SA2,231600
sa2,231700,SA2,231700
sa2,231800,SA2,231800
sa2,231900,SA2,231900
sa2,232000,SA2,232000
sa2,232101,SA2,232101
sa2,232200,SA2,232200
sa2,232300,SA2,232300
sa2,232400,SA2,232400
sa2,232501,SA2,232501
sa2,232601,SA2,232601
sa2,232701,SA2,232701
sa2,232702,SA2,232702
sa2,234400,SA2,234400
sa2,234500,SA2,234500
sa2,234600,SA2,234600
sa2,234700,SA2,234700
sa2,234801,SA2,234801
sa2,234900,SA2,234900
sa2,235000,SA2,235000
sa2,235100,SA2,235100
sa2,235200,SA2,235200
sa2,235301,SA2,235301
sa2,235400,SA2,235400
sa2,235500,SA2,235500
sa2,235600,SA2,235600
sa2,237200,SA2,237200
sa2,237300,SA2,237300
sa2,237500,SA2,237500
sa2,237600,SA2,237600
sa2,237700,SA2,237700
sa2,237800,SA2,237800
sa2,237900,SA2,237900
sa2,238000,SA2,238000
sa2,238100,SA2,238100
sa2,238200,SA2,238200
sa2,238300,SA2,238300
sa2,238400,SA2,238400
sa2,238500,SA2,238500
sa2,238600,SA2,238600
sa2,238700,SA2,238700
sa2,240300,SA2,240300
sa2,240500,SA2,240500
sa2,240601,SA2,240601
sa2,240700,SA2,240700
sa2,240801,SA2,240801
sa2,240900,SA2,240900
sa2,241000,SA2,241000
sa2,241100,SA2,241100
sa2,241200,SA2,241200
sa2,241300,SA2,241300
sa2,241400,SA2,241400
sa2,241500,SA2,241500
sa2,241600,SA2,241600
sa2,241700,SA2,241700
sa2,243300,SA2,243300
sa2,243400,SA2,243400
sa2,243500,SA2,243500
sa2,243600,SA2,243600
sa2,243700,SA2,243700
sa2,243800,SA2,243800
sa2,243900,SA2,243900
sa2,244000,SA2,244000
sa2,244100,SA2,244100
sa2,244200,SA2,244200
sa2,244300,SA2,244300
sa2,244400,SA2,244400
sa2,244500,SA2,244500
sa2,244600,SA2,244600
sa2,244700,SA2,244700
sa2,246400,SA2,246400
sa2,246600,SA2,246600
sa2,246700,SA2,246700
sa2,246800,SA2,246800
sa2,246900,SA2,246900
sa2,247000,SA2,247000
sa2,247100,SA2,247100
sa2,247200,SA2,247200
sa2,247300,SA2,247300
sa2,247400,SA2,247400
sa2,247501,SA2,247501
sa2,247600,SA2,247600
sa2,247700,SA2,247700
sa2,247800,SA2,247800
sa2,248101,SA2,248101
sa2,248102,SA2,248102
sa2,249600,SA2,249600
sa2,249800,SA2,249800
sa2,249900,SA2,249900
sa2,250000,SA2,250000
sa2,250100,SA2,250100
sa2,250200,SA2,250200
sa2,250300,SA2,250300
sa2,250401,SA2,250401
sa2,250500,SA2,250500
sa2,250600,SA2,250600
sa2,250700,SA2,250700
sa2,250800,SA2,250800
sa2,250901,SA2,250901
sa2,250902,SA2,250902
sa2,252400,SA2,252400
sa2,252600,SA2,252600
sa2,252700,SA2,252700
sa2,252800,SA2,252800
sa2,252900,SA2,252900
sa2,253000,SA2,253000
sa2,253101,SA2,253101
sa2,253200,SA2,253200
sa2,212500,SA2,212500
sa2,212600,SA2,212600
sa2,212800,SA2,212800
sa2,214400,SA2,214400
sa2,214500,SA2,214500
sa2,214600,SA2,214600
sa2,214700,SA2,214700
sa2,214800,SA2,214800
sa2,214900,SA2,214900
sa2,215000,SA2,215000
sa2,215101,SA2,215101
sa2,215200,SA2,215200
sa2,215300,SA2,215300
sa2,215401,SA2,215401
sa2,215500,SA2,215500
sa2,215600,SA2,215600
sa2,215700,SA2,215700
sa2,215801,SA2,215801
sa2,216101,SA2,216101
sa2,217800,SA2,217800
sa2,217901,SA2,217901
sa2,218001,SA2,218001
sa2,218100,SA2,218100
sa2,218201,SA2,218201
sa2,218301,SA2,218301
sa2,218401,SA2,218401
sa2,218402,SA2,218402
sa2,218500,SA2,218500
sa2,218600,SA2,218600
sa2,218700,SA2,218700
sa2,218801,SA2,218801
sa2,218901,SA2,218901
sa2,219301,SA2,219301
sa2,220600,SA2,220600
sa2,220700,SA2,220700
sa2,220800,SA2,220800
sa2,220901,SA2,220901
sa2,221001,SA2,221001
sa2,221100,SA2,221100
sa2,221201,SA2,221201
sa2,221301,SA2,221301
sa2,221401,SA2,221401
sa2,221402,SA2,221402
sa2,221500,SA2,221500
sa2,221600,SA2,221600
sa2,221700,SA2,221700
sa2,221800,SA2,221800
sa2,221900,SA2,221900
sa2,222101,SA2,222101
sa2,222201,SA2,222201
sa2,223600,SA2,223600
sa2,223800,SA2,223800
sa2,223901,SA2,223901
sa2,224000,SA2,224000
sa2,224100,SA2,224100
sa2,224200,SA2,224200
sa2,224301,SA2,224301
sa2,224401,SA2,224401
sa2,224500,SA2,224500
sa2,224600,SA2,224600
sa2,224700,SA2,224700
sa2,224800,SA2,224800
sa2,224900,SA2,224900
sa2,225000,SA2,225000
sa2,226800,SA2,226800
sa2,226900,SA2,226900
sa2,227000,SA2,227000
sa2,227100,SA2,227100
sa2,227200,SA2,227200
sa2,227300,SA2,227300
sa2,227400,SA2,227400
sa2,227500,SA2,227500
sa2,227600,SA2,227600
sa2,227700,SA2,227700
sa2,227800,SA2,227800
sa2,227900,SA2,227900
sa2,228000,SA2,228000
sa2,229600,SA2,229600
sa2,229700,SA2,229700
sa2,229800,SA2,229800
sa2,229900,SA2,229900
sa2,230000,SA2,230000
sa2,230100,SA2,230100
sa2,230200,SA2,230200
sa2,230300,SA2,230300
sa2,230400,SA2,230400
sa2,230500,SA2,230500
sa2,230600,SA2,230600
sa2,230700,SA2,230700
sa2,230800,SA2,230800
sa2,230900,SA2,230900
sa2,231000,SA2,231000
sa2,231101,SA2,231101
sa2,232800,SA2,232800
sa2,232900,SA2,232900
sa2,233000,SA2,233000
sa2,233100,SA2,233100
sa2,233200,SA2,233200
sa2,233300,SA2,233300
sa2,233400,SA2,233400
sa2,233500,SA2,233500
sa2,233600,SA2,233600
sa2,233700,SA2,233700
sa2,233801,SA2,233801
sa2,233900,SA2,233900
sa2,234001,SA2,234001
sa2,234100,SA2,234100
sa2,234201,SA2,234201
sa2,234301,SA2,234301
sa2,235700,SA2,235700
sa2,235800,SA2,235800
sa2,235900,SA2,235900
sa2,236000,SA2,236000
sa2,236100,SA2,236100
sa2,236300,SA2,236300
sa2,236401,SA2,236401
sa2,236500,SA2,236500
sa2,236600,SA2,236600
sa2,236701,SA2,236701
sa2,236800,SA2,236800
sa2,236900,SA2,236900
sa2,237001,SA2,237001
sa2,237100,SA2,237100
sa2,237401,SA2,237401
sa2,238800,SA2,238800
sa2,238900,SA2,238900
sa2,239000,SA2,239000
sa2,239100,SA2,239100
sa2,239200,SA2,239200
sa2,239300,SA2,239300
sa2,239401,SA2,239401
sa2,239500,SA2,239500
sa2,239600,SA2,239600
sa2,239801,SA2,239801
sa2,239900,SA2,239900
sa2,240000,SA2,240000
sa2,240100,SA2,240100
sa2,240201,SA2,240201
sa2,240401,SA2,240401
sa2,240602,SA2,240602
sa2,240802,SA2,240802
sa2,241800,SA2,241800
sa2,241900,SA2,241900
sa2,242000,SA2,242000
sa2,242100,SA2,242100
sa2,242200,SA2,242200
sa2,242300,SA2,242300
sa2,242400,SA2,242400
sa2,242500,SA2,242500
sa2,242600,SA2,242600
sa2,242700,SA2,242700
sa2,242800,SA2,242800
sa2,242900,SA2,242900
sa2,243000,SA2,243000
sa2,243100,SA2,243100
sa2,243200,SA2,243200
sa2,244800,SA2,244800
sa2,244900,SA2,244900
sa2,245000,SA2,245000
sa2,245100,SA2,245100
sa2,245200,SA2,245200
sa2,245300,SA2,245300
sa2,245400,SA2,245400
sa2,245500,SA2,245500
sa2,245600,SA2,245600
sa2,245700,SA2,245700
sa2,245800,SA2,245800
sa2,245900,SA2,245900
sa2,246001,SA2,246001
sa2,246002,SA2,246002
sa2,246100,SA2,246100
sa2,246200,SA2,246200
sa2,246300,SA2,246300
sa2,247900,SA2,247900
sa2,248000,SA2,248000
sa2,248200,SA2,248200
sa2,248301,SA2,248301
sa2,248400,SA2,248400
sa2,248500,SA2,248500
sa2,248600,SA2,248600
sa2,248701,SA2,248701
sa2,248800,SA2,248800
sa2,248900,SA2,248900
sa2,249000,SA2,249000
sa2,249101,SA2,249101
sa2,249200,SA2,249200
sa2,249300,SA2,249300
sa2,249401,SA2,249401
sa2,249402,SA2,249402
sa2,249501,SA2,249501
sa2,249701,SA2,249701
sa2,249702,SA2,249702
sa2,251000,SA2,251000
sa2,251100,SA2,251100
sa2,251200,SA2,251200
sa2,251300,SA2,251300
sa2,251400,SA2,251400
sa2,251500,SA2,251500
sa2,251601,SA2,251601
sa2,251602,SA2,251602
sa2,251700,SA2,251700
sa2,251800,SA2,251800
sa2,251900,SA2,251900
sa2,252001,SA2,252001
sa2,253300,SA2,253300
sa2,253400,SA2,253400
sa2,253501,SA2,253501
sa2,253600,SA2,253600
